Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
Q2_5,pgm,Milieu_2,Plate_2,0.993,1.060,0.017,1,4,1,0.000,0.011,0.085
Q2_6,pgm,Milieu_2,Plate_2,9.264,1.168,0.508,22.43,3,7,2.880,0.101,0.785
Q2_7,pgm,Milieu_2,Plate_2,1.201,1.063,0.508,22.43,3,7,2.880,0.065,0.594
Q2_8,pgm,Milieu_2,Plate_2,9.884,1.168,0.508,22.43,3,7,2.880,0.150,1.208
Q2_9,pgm,Milieu_2,Plate_2,10.7,1.202,0.508,22.43,3,7,2.880,0.093,0.827
Q2_10,pgm,Milieu_2,Plate_2,8.94,1.246,0.508,22.43,3,7,2.880,0.131,1.111
Q2_11,pgm,Milieu_2,Plate_2,4.095,1.220,0.508,22.43,3,7,2.880,0.123,1.005
Q2_12,pgm,Milieu_2,Plate_2,11.152,1.242,0.508,22.43,3,7,2.880,0.158,1.465
Q2_13,pgm,Milieu_2,Plate_2,5.735,1.102,0.154,6.67,5,3,1.935,0.124,1.148
Q2_14,pgm,Milieu_2,Plate_2,4.635,1.335,0.154,6.67,5,3,1.935,0.104,0.924
Q2_15,pgm,Milieu_2,Plate_2,5.703,1.288,0.154,6.67,5,3,1.935,0.107,0.865
R1_1,pgm,Milieu_3,Plate_1,0.296,1.327,0.013,1,2,1,0.000,0.008,0.050
R1_2,pgm,Milieu_3,Plate_1,5.412,1.128,0.133,5,3,5,0.888,0.171,1.526
R1_3,pgm,Milieu_3,Plate_1,2.807,1.118,0.133,5,3,5,0.888,0.018,0.153
R1_4,pgm,Milieu_3,Plate_1,4.682,1.107,0.133,5,3,5,0.888,0.074,0.540
R1_5,pgm,Milieu_3,Plate_1,3.533,1.154,0.133,5,3,5,0.888,0.059,0.510
R1_6,pgm,Milieu_3,Plate_1,3.988,1.100,0.133,5,3,5,0.888,0.114,1.031
R1_7,pgm,Milieu_3,Plate_1,0.738,1.088,0.026,1,5,1,0.000,0.007,0.049
R1_8,pgm,Milieu_3,Plate_1,0.301,1.068,0.011,0,4,1,0.000,0.007,0.027
R1_9,pgm,Milieu_3,Plate_1,7.427,1.097,0.108,7.33,6,3,1.800,0.168,1.534
R1_10,pgm,Milieu_3,Plate_1,0.425,1.119,0.108,7.33,6,3,1.800,0.016,0.116
R1_11,pgm,Milieu_3,Plate_1,2.012,1.267,0.108,7.33,6,3,1.800,0.050,0.440
R1_12,pgm,Milieu_3,Plate_1,4.054,1.102,0.172,10,8,1,1.347,0.097,0.828
R1_13,pgm,Milieu_3,Plate_1,7.383,1.123,0.223,17,7,2,1.892,0.306,3.637
R1_14,pgm,Milieu_3,Plate_1,5.232,1.088,0.223,17,7,2,1.892,0.203,1.784
R1_15,pgm,Milieu_3,Plate_1,2.31,1.135,0.073,6,1,1,0.886,0.241,1.919
R2_1,pgm,Milieu_3,Plate_2,4.117,1.202,0.140,12,1,1,1.091,0.103,0.965
R2_2,pgm,Milieu_3,Plate_2,0.973,1.081,0.028,1,4,1,0.000,0.018,0.166
R2_3,pgm,Milieu_3,Plate_2,0.816,1.075,0.028,2,6,1,0.382,0.024,0.284
R2_4,pgm,Milieu_3,Plate_2,0.477,1.069,0.021,1,8,1,0.000,0.017,0.159
R2_5,pgm,Milieu_3,Plate_2,0.481,1.155,0.015,0,9,1,0.000,0.009,0.069
R2_6,pgm,Milieu_3,Plate_2,1.043,1.090,0.067,5,12,1,0.447,0.029,0.277
R2_7,pgm,Milieu_3,Plate_2,5.066,1.132,0.295,13,14,1,1.434,0.195,2.264
R2_8,pgm,Milieu_3,Plate_2,6.869,1.146,0.133,9,13,3,2.384,0.113,1.167
R2_9,pgm,Milieu_3,Plate_2,1.221,1.132,0.133,9,13,3,2.384,0.072,0.742
R2_10,pgm,Milieu_3,Plate_2,0.461,1.037,0.133,9,13,3,2.384,0.027,0.353
R2_11,pgm,Milieu_3,Plate_2,0.48,1.165,0.039,3,15,1,0.052,0.003,0.077
R2_12,pgm,Milieu_3,Plate_2,0.257,1.055,0.010,0,17,1,0.000,0.015,0.100
R2_13,pgm,Milieu_3,Plate_2,0.341,1.057,0.011,0,19,1,0.000,0.017,0.117
R2_14,pgm,Milieu_3,Plate_2,0.437,1.134,0.028,2,18,1,0.000,0.022,0.202
R2_15,pgm,Milieu_3,Plate_2,7.435,1.158,0.277,12,16,1,2.211,0.246,3.575
R2_16,pgm,Milieu_3,Plate_2,3.596,1.084,0.111,7,11,1,1.294,0.057,0.646
R2_17,pgm,Milieu_3,Plate_2,0.592,1.080,0.034,2,10,1,0.216,0.030,0.305
R2_18,pgm,Milieu_3,Plate_2,1.372,1.056,0.063,5,7,1,0.466,0.034,0.443
R2_19,pgm,Milieu_3,Plate_2,5.902,1.182,0.242,10,5,1,1.721,0.131,1.628
R2_20,pgm,Milieu_3,Plate_2,4.844,1.171,0.235,11,3,1,1.604,0.114,1.334
R2_21,pgm,Milieu_3,Plate_2,2.602,1.143,0.088,3,2,1,0.852,0.038,0.439
S1_1,pgm,Milieu_4,Plate_1,1.104,1.243,0.030,1,3,1,0.000,0.079,1.651
S1_2,pgm,Milieu_4,Plate_1,6.729,1.256,0.264,10,2,1,1.518,0.172,3.854
S1_3,pgm,Milieu_4,Plate_1,6.499,1.097,0.068,1,1,1,0.000,0.117,2.704
S1_4,pgm,Milieu_4,Plate_1,5.242,1.268,0.272,10,4,5,2.386,0.241,5.419
S1_5,pgm,Milieu_4,Plate_1,8.629,1.119,0.272,10,4,5,2.386,0.301,6.402
S1_6,pgm,Milieu_4,Plate_1,11.128,1.248,0.272,10,4,5,2.386,0.143,3.016
S1_7,pgm,Milieu_4,Plate_1,3.175,1.141,0.272,10,4,5,2.386,0.064,1.058
S1_8,pgm,Milieu_4,Plate_1,6.247,1.073,0.272,10,4,5,2.386,0.107,2.142
S1_9,pgm,Milieu_4,Plate_1,6.936,1.248,0.330,11.89,5,9,2.794,0.270,5.888
S1_10,pgm,Milieu_4,Plate_1,7.981,1.249,0.330,11.89,5,9,2.794,0.031,0.612
S1_11,pgm,Milieu_4,Plate_1,9.909,1.127,0.330,11.89,5,9,2.794,0.191,4.587
S1_12,pgm,Milieu_4,Plate_1,12.402,1.223,0.330,11.89,5,9,2.794,0.254,5.553
S1_13,pgm,Milieu_4,Plate_1,5.411,1.355,0.330,11.89,5,9,2.794,0.240,4.378
S1_14,pgm,Milieu_4,Plate_1,5.286,1.124,0.330,11.89,5,9,2.794,0.183,3.914
S1_15,pgm,Milieu_4,Plate_1,5.213,1.303,0.330,11.89,5,9,2.794,0.205,4.390
S1_16,pgm,Milieu_4,Plate_1,4.989,1.091,0.330,11.89,5,9,2.794,0.160,3.363
S1_17,pgm,Milieu_4,Plate_1,8.629,1.113,0.330,11.89,5,9,2.794,0.002,0.039
S1_18,pgm,Milieu_4,Plate_1,4.806,1.174,0.194,8,6,1,1.144,0.112,2.261
S1_19,pgm,Milieu_4,Plate_1,2.662,1.244,0.230,11.5,7,2,2.044,0.175,3.842
S1_20,pgm,Milieu_4,Plate_1,7.405,1.196,0.230,11.5,7,2,2.044,0.162,3.479
S2_1,pgm,Milieu_4,Plate_2,3.112,1.243,0.085,4,2,1,0.579,0.028,0.476
S2_2,pgm,Milieu_4,Plate_2,2.162,1.135,0.056,2,4,1,0.498,0.002,0.030
S2_3,pgm,Milieu_4,Plate_2,5.031,1.134,0.131,4,6,1,0.393,0.054,1.087
S2_4,pgm,Milieu_4,Plate_2,9.263,1.133,0.273,9.33,7,3,2.558,0.189,3.428
S2_5,pgm,Milieu_4,Plate_2,4.338,1.120,0.273,9.33,7,3,2.558,0.207,3.840
S2_6,pgm,Milieu_4,Plate_2,2.267,1.121,0.058,2,8,1,0.970,0.048,0.725
S2_7,pgm,Milieu_4,Plate_2,4.088,1.176,0.173,6.75,5,4,1.984,0.080,1.472
S2_8,pgm,Milieu_4,Plate_2,1.318,1.190,0.173,6.75,5,4,1.984,0.151,3.326
S2_9,pgm,Milieu_4,Plate_2,2.374,1.170,0.173,6.75,5,4,1.984,0.057,1.227
S2_10,pgm,Milieu_4,Plate_2,7.61,1.230,0.173,6.75,5,4,1.984,0.101,2.073
S2_11,pgm,Milieu_4,Plate_2,3.764,1.156,0.208,8.5,3,2,3.277,0.102,2.106
S2_12,pgm,Milieu_4,Plate_2,7.034,1.260,0.288,18,1,1,1.930,0.154,2.985
S2_13,pgm,Milieu_4,Plate_2,8.894,1.624,0.208,8.5,3,2,3.277,0.188,4.761
S2_14,pgm,Milieu_4,Plate_2,4.828,1.271,0.273,9.33,7,3,2.558,0.160,2.894
S2_15,pgm,Milieu_4,Plate_2,7.267,1.216,0.246,8.88,9,8,2.103,0.111,2.229
S2_16,pgm,Milieu_4,Plate_2,6.782,1.196,0.246,8.88,9,8,2.103,0.058,0.933
S2_17,pgm,Milieu_4,Plate_2,7.619,1.164,0.246,8.88,9,8,2.103,0.135,2.473
S2_18,pgm,Milieu_4,Plate_2,3.322,1.141,0.246,8.88,9,8,2.103,0.110,1.900
S2_19,pgm,Milieu_4,Plate_2,1.948,1.184,0.246,8.88,9,8,2.103,0.199,4.060
S2_20,pgm,Milieu_4,Plate_2,5.653,1.134,0.246,8.88,9,8,2.103,0.083,1.396
S2_21,pgm,Milieu_4,Plate_2,6.106,1.262,0.246,8.88,9,8,2.103,0.159,2.885
S2_22,pgm,Milieu_4,Plate_2,2.855,1.195,0.246,8.88,9,8,2.103,0.100,1.780
T1_1,pgm,Milieu_5,Plate_1,1.436,1.151,0.062,4,3,1,0.391,0.031,0.627
T1_2,pgm,Milieu_5,Plate_1,1.277,1.085,0.044,1,5,1,0.000,0.012,0.228
T1_3,pgm,Milieu_5,Plate_1,5.999,1.067,0.256,10,7,1,2.161,0.128,3.169
T1_4,pgm,Milieu_5,Plate_1,5.879,1.081,0.120,4.5,9,2,0.762,0.015,0.317
T1_5,pgm,Milieu_5,Plate_1,0.596,1.051,0.020,1,10,1,0.000,0.075,1.755
T1_6,pgm,Milieu_5,Plate_1,1.494,1.097,0.055,3,11,1,0.000,0.014,0.347
T1_7,pgm,Milieu_5,Plate_1,0.547,1.152,0.120,4.5,9,2,0.762,0.019,0.361
T1_8,pgm,Milieu_5,Plate_1,0.501,1.052,0.032,3,8,1,0.260,0.045,0.902
T1_9,pgm,Milieu_5,Plate_1,1.403,1.112,0.086,9,6,1,0.478,0.024,0.438
T1_10,pgm,Milieu_5,Plate_1,2.938,1.079,0.132,3,4,1,1.374,0.044,0.918
T1_11,pgm,Milieu_5,Plate_1,0.479,1.075,0.028,1,2,1,0.000,0.015,0.340
T1_12,pgm,Milieu_5,Plate_1,2.525,1.118,0.160,5,1,1,0.456,0.085,2.012
T2_1,pgm,Milieu_5,Plate_2,0.231,1.212,0.015,1,3,1,0.000,0.011,0.126
T2_2,pgm,Milieu_5,Plate_2,2.238,1.071,0.074,3,7,1,0.025,0.012,0.119
T2_3,pgm,Milieu_5,Plate_2,5.884,1.098,0.355,18,8,1,1.670,0.134,2.304
T2_4,pgm,Milieu_5,Plate_2,4.548,1.065,0.223,10,10,1,1.360,0.076,1.298
T2_5,pgm,Milieu_5,Plate_2,6.447,1.076,0.145,6.25,14,4,1.389,0.162,3.066
T2_6,pgm,Milieu_5,Plate_2,2.298,1.079,0.145,6.25,14,4,1.389,0.024,0.348
T2_7,pgm,Milieu_5,Plate_2,2.802,1.148,0.145,6.25,14,4,1.389,0.019,0.294
T2_8,pgm,Milieu_5,Plate_2,3.638,1.116,0.157,11,12,1,1.299,0.042,0.487
T2_9,pgm,Milieu_5,Plate_2,3.872,1.107,0.115,6.5,11,2,0.989,0.107,1.816
T2_10,pgm,Milieu_5,Plate_2,0.365,1.086,0.022,3,13,1,0.059,0.048,0.646
T2_11,pgm,Milieu_5,Plate_2,0.746,1.081,0.145,6.25,14,4,1.389,0.050,0.749
T2_12,pgm,Milieu_5,Plate_2,5.765,1.067,0.271,11,15,1,1.918,0.157,3.101
T2_13,pgm,Milieu_5,Plate_2,5.521,1.096,0.243,11,16,1,1.995,0.184,3.235
T2_14,pgm,Milieu_5,Plate_2,0.837,1.121,0.040,3,9,1,0.035,0.042,0.531
T2_15,pgm,Milieu_5,Plate_2,0.999,1.111,0.063,1,6,1,0.000,0.051,0.484
T2_16,pgm,Milieu_5,Plate_2,0.546,1.097,0.031,1,5,1,0.000,0.023,0.330
T2_17,pgm,Milieu_5,Plate_2,2.956,1.090,0.121,4,4,1,0.859,0.061,1.114
T2_18,pgm,Milieu_5,Plate_2,0.766,1.148,0.043,1,2,1,0.000,0.025,0.348
T2_19,pgm,Milieu_5,Plate_2,0.989,1.095,0.032,2,1,1,0.349,0.020,0.403
T2_20,pgm,Milieu_5,Plate_2,0.197,1.092,0.115,6.5,11,2,0.989,0.033,0.543
