Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
K1_10,sex1,Milieu_1,Plate_1,0.592,1.147,0.009,1,16,1,0.000,0.009,0.177
K1_11,sex1,Milieu_1,Plate_1,0.26,1.077,0.006,1,14,1,0.000,0.010,0.183
K1_12,sex1,Milieu_1,Plate_1,0.2,1.068,0.005,0,12,1,0.000,0.006,0.115
K1_13,sex1,Milieu_1,Plate_1,0.085,1.049,0.001,0,10,1,0.000,0.009,0.181
K1_14,sex1,Milieu_1,Plate_1,0.493,1.256,0.008,0,9,1,0.000,0.010,0.220
K1_15,sex1,Milieu_1,Plate_1,0.431,1.759,0.058,2,7,2,0.428,0.012,0.226
K1_16,sex1,Milieu_1,Plate_1,0.571,1.043,0.009,0,6,1,0.000,0.012,0.209
K1_17,sex1,Milieu_1,Plate_1,0.577,1.800,0.010,0,2,1,0.000,0.009,0.188
K2_1,sex1,Milieu_1,Plate_2,1.573,1.142,0.061,1,3,1,0.000,0.023,0.479
K2_2,sex1,Milieu_1,Plate_2,1.336,1.074,0.030,1,6,1,0.000,0.012,0.259
K2_3,sex1,Milieu_1,Plate_2,0.638,1.327,0.009,1,7,1,0.000,0.014,0.187
K2_4,sex1,Milieu_1,Plate_2,0.376,1.269,0.008,0,8,1,0.000,0.006,0.114
K2_5,sex1,Milieu_1,Plate_2,0.494,1.153,0.017,1,11,1,0.000,0.010,0.221
K2_6,sex1,Milieu_1,Plate_2,2.308,1.060,0.085,5,12,1,0.546,0.034,0.814
K2_7,sex1,Milieu_1,Plate_2,1.318,1.081,0.026,0,14,1,0.000,0.006,0.120
K2_8,sex1,Milieu_1,Plate_2,0.874,1.136,0.018,1,18,1,0.000,0.009,0.176
K2_9,sex1,Milieu_1,Plate_2,0.362,1.094,0.008,1,17,1,0.000,0.008,0.129
K2_10,sex1,Milieu_1,Plate_2,0.244,1.203,0.007,1,16,1,0.000,0.012,0.168
K2_11,sex1,Milieu_1,Plate_2,0.283,1.112,0.009,1,15,1,0.000,0.008,0.153
K2_12,sex1,Milieu_1,Plate_2,0.176,1.071,0.007,1,13,1,0.000,0.008,0.122
K2_13,sex1,Milieu_1,Plate_2,1.294,1.106,0.029,1,10,1,0.000,0.012,0.209
K2_14,sex1,Milieu_1,Plate_2,0.321,1.082,0.007,1,9,1,0.000,0.012,0.185
K2_15,sex1,Milieu_1,Plate_2,1.44,1.103,0.048,2,5,1,0.031,0.031,0.684
K2_16,sex1,Milieu_1,Plate_2,1.081,1.119,0.034,3,4,1,0.072,0.010,0.145
K2_17,sex1,Milieu_1,Plate_2,0.491,1.045,0.012,0,2,1,0.000,0.010,0.187
K2_18,sex1,Milieu_1,Plate_2,0.231,1.028,0.004,0,1,1,0.000,0.007,0.118
L1_1,sex1,Milieu_2,Plate_1,5.247,1.172,0.096,2,1,1,2.240,0.044,0.873
